"name","company","location","welfare","label","salaryMin","salaryMax","salaryMid","experience","education","companyType","companyLevel","companySize"
"数据分析师（BI）","Club Factory","古荡","“精英团队,发展空间,海量数据”","电商 BI 数据分析","8","15","11.5","经验1-3年","本科","电商,移动互联网","C轮","150-500人"
"数据分析师（BI）","惠每云科技","余杭区","“都是大牛,弹性制,跨国旅游”","BI 数据分析","18","25","21.5","经验3-5年","大专","医疗丨健康","B轮","50-150人"
"数据分析师（BI）","达摩网络","西湖区","“数据分析师 发展空间大”","数据分析 BI","10","20","15","经验1-3年","本科","企业服务,消费生活","A轮","50-150人"
"数据分析师（BI方向）10-01-21","大搜车","余杭区","“五险一金入职即缴、；午餐补贴”","ETL","13","25","19","经验3-5年","不限","汽车丨出行","D轮及以上","2000人以上"
"数据分析师（咨询部）","个推","古墩路","“16-18薪，生日Par，餐补”","大数据 软件开发","10","15","12.5","经验不限","不限","移动互联网","上市公司","500-2000人"
"数据分析师（商业化变现）","小影APP","天目山路","“团队开放 出海之王 福利完善 结果导向”","工具软件 移动互联网 数据分析 算法 数据挖掘","12","24","18","经验1-3年","本科","移动互联网,文娱丨内容","B轮","150-500人"
"数据分析师（杭州）","台州银行","江干区","“福利待遇好,工作氛围好,晋升空间大”","金融 Hadoop Hive 数据挖掘 数据分析","18","25","21.5","经验3-5年","本科","金融","不需要融资","2000人以上"
"数据分析师（消费品行业）","polosport服饰","仓前","“五险一金 带薪年假 餐补 扁平化组织”","电商 数据分析 数据运营 SPSS 商业","6","10","8","经验1-3年","不限","数据服务,移动互联网","不需要融资","50-150人"
"数据分析师（电商）","未来集市","西溪","“电商独角兽、发展空间大，16-22薪”","电商 BI 数据分析","12","24","18","经验3-5年","本科","移动互联网","不需要融资","500-2000人"
"数据分析师（美妆行业）","美丽谷","黄龙","“双休 年假 年终奖 年度旅游”","数据分析","10","13","11.5","经验3-5年","大专","电商","未融资","500-2000人"
"数据分析师/数据挖掘","同花顺","余杭区","“海量数据、用户画像、业务数据驱动”","移动互联网 工具软件 数据分析","20","40","30","经验不限","本科","金融,电商","上市公司","2000人以上"
